index,x_m,y_m
653,700492.1841639723,9311398.219381236
654,696347.3943378706,9310148.574975498
655,699990.4659702615,9310741.634398092
656,699219.8379175605,9310872.452825028
657,699220.6504127672,9310922.440390997
658,699221.2344586601,9310957.376335628
659,695839.6203565749,9304509.11456195
660,700102.3828800396,9304104.177415933
661,698852.4022971139,9308572.593736
662,695539.6878176125,9307638.333802484
663,695530.2543671337,9307620.559557877
664,699352.484551314,9305744.874388285
665,694137.0182290472,9310345.413607266
666,701629.1811227022,9303922.919341423
667,697307.9219787861,9307306.155586787
668,697855.7746945056,9309455.688580748
669,699626.2195850478,9309937.042378733
670,696631.1359841696,9304609.350806331
671,698545.5336245737,9304171.000176493
672,700106.078413477,9306589.43036877
673,700107.0065045506,9306556.900073543
674,698646.2205014541,9304784.035433346
675,697011.6454338508,9309636.571500318
676,700084.5799880605,9306680.626815667
677,700082.616383364,9306730.60209608
678,700081.3243004074,9306763.498614851
679,694488.1847837056,9310024.992174277
680,700029.1668530299,9308905.587418862
681,700135.256144784,9309402.430170275
682,698648.1232169978,9304124.897790419
683,698013.5857043852,9308020.044602692
684,693607.0478735168,9310331.48144987
685,696974.2374698124,9310601.440173164
686,696196.076149405,9304479.516438065
687,698600.3937816586,9304124.846109338
688,698602.7222725743,9304338.812098011
689,697150.9665706032,9310345.204024008
690,701404.2237582862,9302646.587899577
691,701402.7496762823,9302663.371010637
692,696552.0187686272,9305984.128426818
693,698875.7161506923,9305820.688923845
694,699630.7797573035,9303727.32842503
695,699653.9009109797,9303922.134354364
696,699744.6321033268,9309940.549235586
697,700761.4233596486,9309909.174841652
698,697103.0798615608,9302778.876006637
699,696491.467004001,9308458.183811925
700,698838.1774433379,9306731.30710196
701,698226.7007109424,9309611.293835102
702,698228.9324049018,9309561.34036745
703,698230.6773615547,9309527.723819762
704,698232.4665795035,9309494.107120445
705,698705.6617794526,9310701.838413708
706,698655.7837338217,9310699.68564337
707,698614.0515725375,9310691.057263035
708,694611.6221515613,9309633.73096655
709,698793.8775977975,9307931.159627803
710,696759.37137229,9304553.58312963
711,696396.8635289704,9307240.778647613
712,697917.3383709181,9307630.925352465
713,696873.7287513829,9310119.604807653
714,700066.2517352892,9308866.407600973
715,699990.6083788511,9310492.516249478
716,696169.1000316964,9304496.872076487
717,696915.4327563883,9304005.4748284
718,697099.3979851867,9308722.489196897
719,697114.505917339,9302596.921851007
720,698638.6064674342,9304729.1496543
721,699914.974020544,9304767.921215171
722,697621.3448998183,9309287.242756149
723,698730.4428716497,9305408.07227155
724,700099.4925709361,9306211.236293957
725,698843.8421177157,9308357.360605435
726,697617.0243807866,9310010.541390635
727,698291.887619357,9310516.081288764
728,701465.7052553749,9303057.914559461
729,697508.5443388547,9309296.240883498
730,697558.3974278587,9309294.744650753
731,697608.3726795716,9309296.632236734
732,697647.888003292,9309298.123945296
733,696326.2331331073,9310135.319333361
734,696766.8739185,9303331.28352354
735,696746.4892639797,9303347.267895145
736,695963.3570785846,9306265.983122084
737,696016.5125112585,9306270.783083001
738,699399.2288727699,9305741.218649067
739,698861.7330214297,9311112.547456428
740,697863.5294844896,9311450.368677331
741,696424.8109926085,9303526.943737919
742,696730.6285139369,9304585.07937057
743,695572.4851713079,9307702.656785995
744,695457.5841745791,9307934.930332595
745,700075.6220599422,9306894.32339061
