from,to,distance
1072,669,36.92
1073,1074,47.5
1074,861,47.5
385,173,27.42
173,385,27.42
580,1075,33.91
1075,580,33.91
1075,448,33.91
448,1075,33.91
680,201,28.33
965,346,152.85
1076,1666,34.85
1077,1078,193.98
1078,1272,193.98
828,824,20.72
1079,965,89.84
632,186,57.33
1080,1058,44.1
1058,1080,44.1
229,1117,34.95
1082,727,16.91
1083,1907,40.93
1084,1625,16.54
1085,671,110.74
621,952,43.25
1086,276,73.64
1011,1087,32.22
1087,1011,32.22
1087,520,32.22
520,1087,32.22
1088,1911,197.38
1089,1090,102.55
1090,1089,102.55
1081,622,22.5
451,1091,26.92
1091,451,26.92
1091,785,26.92
785,1091,26.92
381,533,20.99
1092,4254,72.17
784,369,21.38
693,1540,42.23
871,1030,63.63
157,312,35.71
312,410,35.72
340,1093,41.53
1093,340,41.53
1094,1095,33.26
1095,1688,33.26
1096,598,81.29
169,168,49.78
1097,418,193.96
1098,1099,36.06
1099,1098,36.06
546,834,64.14
614,857,53.58
1100,1218,62.42
1101,1102,50.0
1102,1103,50.0
1103,1104,42.68
1104,672,42.68
1105,164,19.61
612,341,29.93
1106,1255,23.38
1107,879,34.08
860,4255,32.2
1108,1109,17.72
1109,1108,17.72
1110,1937,70.93
620,404,24.11
1111,908,81.99
1112,512,131.07
954,308,52.88
1114,605,29.78
1106,776,64.54
1115,484,67.75
586,489,39.06
489,586,39.06
1116,1082,73.94
355,150,18.48
462,296,18.45
654,733,29.85
184,305,72.08
625,1117,44.59
1117,229,44.59
1118,1230,26.55
667,1081,29.22
1119,268,98.98
1120,1121,42.54
1121,644,42.54
1122,790,150.23
1123,1124,143.48
1124,501,143.48
622,439,45.31
793,231,29.65
1125,1824,58.95
1126,241,46.22
332,331,29.68
187,475,91.66
958,208,53.55
652,203,48.08
1127,1205,243.93
1128,233,76.99
944,859,32.82
1129,884,31.25
1130,781,81.79
1132,847,24.0
687,213,50.71
154,582,45.24
582,154,45.24
1133,501,104.32
1134,1135,50.1
1135,1136,50.0
1136,1137,36.88
1137,954,37.03
1138,506,203.85
378,1058,107.13
413,323,34.56
941,1139,31.86
1139,941,31.86
341,533,53.89
899,877,56.51
1141,163,53.63
186,1076,28.35
863,814,39.56
537,976,18.95
415,1465,20.94
1142,410,17.59
413,882,37.8
685,381,25.04
1143,176,84.85
1145,525,34.72
1146,1147,26.93
1147,927,73.85
364,1148,76.61
1148,551,17.54
1149,1150,113.87
1150,1630,113.88
1151,1152,25.54
1152,356,35.16
1153,1154,45.38
1154,411,45.39
1155,959,71.83
1156,1157,103.99
1157,1763,23.76
1158,1159,34.52
1159,1158,34.52
1159,416,33.5
416,1159,33.5
765,1160,88.05
1160,1161,134.99
1161,1086,108.47
1162,1163,32.84
1163,488,40.43
1164,1165,275.39
1165,1164,275.39
1165,1166,35.89
1166,1165,35.89
1167,1168,43.74
1168,296,38.62
1169,1170,31.88
1170,1171,40.09
1171,1663,40.1
1172,291,46.14
1173,1174,200.0
1174,1175,118.94
1175,473,118.94
473,1176,192.16
1176,1177,192.16
1177,1178,106.29
1178,1394,106.32
1179,4256,298.93
188,1706,29.8
1180,1181,40.67
1181,1182,22.2
1182,2145,68.76
1183,212,91.8
212,1184,30.81
1184,1185,35.62
1185,1186,41.59
1186,994,41.59
907,622,68.64
1187,1188,44.49
1188,1189,27.6
1189,1190,17.93
1190,236,56.86
316,1191,40.17
1191,316,40.17
1191,1192,29.24
1192,1191,29.24
1192,938,67.97
938,1192,67.97
1193,1194,19.4
1194,689,25.06
550,633,25.1
1195,1083,87.29
1196,1053,28.82
1197,1198,53.39
1198,2142,30.76
843,1199,18.26
1199,1200,39.12
1201,1202,37.99
1202,1300,54.39
1203,1204,30.24
1204,1670,32.41
1205,1119,155.72
162,1206,50.0
1206,1207,50.0
1207,1208,50.0
1208,1209,50.0
1209,1210,45.1
1210,195,45.1
1211,1212,25.94
293,1213,72.06
1213,1077,85.55
199,1214,101.35
1214,1215,45.32
1215,1216,18.5
1216,998,31.78
1217,4257,170.85
883,1218,22.41
1218,883,22.41
765,1219,179.99
1219,1540,17.54
1220,1221,47.39
1221,1333,22.84
1222,338,21.47
1016,1223,169.47
1223,1224,38.08
1224,588,39.27
1225,1226,59.63
1226,1225,59.63
1108,1227,99.09
1227,1228,27.9
1228,143,75.87
197,918,98.29
1230,1231,46.34
1231,2183,46.34
1232,1233,101.87
1233,1234,274.06
1234,3060,154.82
507,1235,38.99
1235,507,38.99
1235,997,33.06
997,1235,33.06
698,1236,34.39
1236,698,34.39
1236,313,27.43
313,1236,27.43
818,1237,44.24
1237,1758,29.6
1238,765,61.26
769,794,44.05
794,769,44.05
295,1240,17.36
1240,1241,39.61
1241,881,43.59
881,508,35.62
522,536,42.92
1242,274,87.88
1243,714,155.15
1244,1245,37.18
1245,1246,31.12
1246,2322,31.12
370,1247,21.06
1247,369,22.7
984,1248,252.22
1248,1249,252.22
1249,2394,67.99
1250,1251,48.75
1251,2187,39.88
1252,1253,187.93
1253,1108,187.93
301,1254,41.99
1254,301,41.99
1255,280,64.78
1256,1257,66.97
1257,1258,30.81
1258,1624,57.91
1259,816,22.53
1260,1261,43.77
1261,1262,42.29
1262,1659,49.03
1263,905,43.17
1264,371,54.24
1096,1265,19.06
1265,1145,15.55
1266,1267,77.55
1267,1268,69.05
1268,1269,135.08
1269,2959,135.09
1270,1271,31.28
1271,1272,31.28
1145,4258,48.91
369,784,21.91
1273,1274,200.0
1274,1275,200.0
1275,1276,200.0
1276,1277,116.69
1277,1278,116.69
1278,1279,200.0
1279,1280,135.33
1280,1281,135.33
1281,1282,200.0
1282,1283,200.0
1283,1284,200.0
1284,1285,174.38
1285,3460,174.01
189,1286,74.31
1286,607,44.24
1287,1288,98.4
1288,1052,35.07
1289,1290,51.64
1290,1130,29.97
1291,1292,32.05
1292,1293,35.07
1293,277,35.07
1294,2179,77.52
1295,1353,157.58
1173,1296,102.9
1296,1174,102.9
1174,1297,169.19
1297,1991,181.73
