edge_idx,requested_lat,requested_lon,frc_response,currentSpeed,freeFlowSpeed,confidence,matched_lat,matched_lon,match_distance_m,valid_match,error
1230,-6.29200618000095,106.79367389000024,FRC1,15.0,15.0,1.0,-6.292013055489381,106.79358018720376,10.384692597393371,True,
1232,-6.299192999999997,106.77846025,FRC4,19.0,19.0,1.0,-6.299076629026455,106.77846057498328,12.939911717289064,True,
1244,-6.233322305556209,106.79402367777882,FRC3,24.0,31.0,1.0,-6.233469763883177,106.7939369210028,18.995127322171207,True,
1253,-6.238470649999998,106.81476885,FRC2,21.0,21.0,1.0,-6.238301836233185,106.814808530457,19.27686297288517,True,
1258,-6.226544375000021,106.80637875,FRC4,17.0,22.0,1.0,-6.226587283537631,106.8062951990418,10.39526042163104,True,
1267,-6.236620275002794,106.7839785874986,FRC2,26.0,33.0,1.0,-6.237287964625548,106.78366540157788,81.91807857754213,True,
1282,-6.237701490913494,106.7835457409083,FRC7,21.0,21.0,1.0,-6.237529350901966,106.78365333163732,22.534823651620044,True,
1336,-6.235382350000007,106.7560557,FRC2,27.0,27.0,1.0,-6.235851643158244,106.75634307944132,61.09133400329718,True,
1359,-6.2464550499999865,106.79014965,FRC4,11.0,14.0,1.0,-6.245997047783042,106.78938789451246,98.4039510763074,True,
1370,-6.237181632814324,106.760689051564,FRC2,21.0,29.0,0.98425,-6.237580261144918,106.76073653780873,44.63515482688421,True,
1390,-6.226588049999993,106.78865525,FRC4,23.0,23.0,1.0,-6.226524206840709,106.78876159870735,13.732888422081984,True,
1397,-6.245688900000385,106.79779287499932,FRC5,23.0,23.0,1.0,-6.245846819138327,106.79774834001388,18.23676256264013,True,
1399,-6.23637465,106.7893101,FRC3,32.0,32.0,1.0,-6.236318335580644,106.78905127728105,29.28672768911451,True,
1415,-6.228592099999995,106.8010805,FRC3,26.0,26.0,1.0,-6.227983384711163,106.80114938104556,68.11295644575263,True,
1420,-6.2396269000004345,106.78634780000196,FRC3,23.0,28.0,0.998588,-6.239844053839056,106.7866439946896,40.681342927180886,True,
1428,-6.23874088000172,106.81408139000052,FRC2,13.0,25.0,1.0,-6.238777858608489,106.8142868408035,23.07903336772081,True,
1439,-6.2458749000000005,106.79752045,FRC4,7.0,7.0,1.0,-6.245864316653238,106.79736880743816,16.80305469667604,True,
1453,-6.261174066666731,106.7671046888902,FRC2,15.0,15.0,1.0,-6.26123065825202,106.76704107009972,9.436393139394411,True,
1456,-6.292027849999997,106.8166286,FRC3,27.0,27.0,1.0,-6.292063960417981,106.8165170975999,12.961443161193312,True,
1478,-6.239106143750991,106.815027475,FRC2,24.0,30.0,0.981938,-6.238945503704059,106.81521220291388,27.129419686841413,True,
1520,-6.289025249999995,106.7713383,FRC1,25.0,25.0,1.0,-6.289147124959594,106.7718529530735,58.47445609839774,True,
1526,-6.26534075,106.7680392,FRC2,45.0,45.0,1.0,-6.265008580246464,106.76805762731658,36.99170729633788,True,
1530,-6.25436412500159,106.80804912499964,FRC3,27.0,33.0,1.0,-6.255075010605226,106.80802924717034,79.07740231455675,True,
1552,-6.24143877500167,106.79039960000004,FRC3,22.0,22.0,1.0,-6.241165046390064,106.78985325777666,67.62711244837247,True,
1589,-6.280602360000728,106.77222391999908,FRC3,26.0,32.0,0.979024,-6.28080810123598,106.77218822920048,23.21499850616047,True,
1594,-6.229119749999995,106.81933445,FRC1,19.0,37.0,1.0,-6.229160839639955,106.8192663618408,8.804626641582596,True,
1601,-6.291983525001671,106.8028521750008,FRC3,31.0,39.0,1.0,-6.292061294366212,106.80278016412694,11.752706628299538,True,
1609,-6.240080703851383,106.80264561538095,FRC3,14.0,14.0,1.0,-6.239941957715587,106.80279357517202,22.48336952728534,True,
1632,-6.241313999999996,106.836703,FRC0,36.0,49.0,1.0,-6.24125628424131,106.83635203326968,39.32166208737219,True,
1644,-6.2952823,106.80476525,FRC0,54.0,54.0,1.0,-6.295505238667503,106.80476365769393,24.7902734677968,True,
1690,-6.293857225001123,106.82178009999944,FRC2,22.0,22.0,1.0,-6.293456054151823,106.82211218560629,57.76719339474516,True,
1694,-6.293208475001881,106.8202381000039,FRC2,56.0,56.0,1.0,-6.293305839177704,106.8208810516682,71.8821136690883,True,
1716,-6.292290649999998,106.80313015,FRC0,40.0,65.0,1.0,-6.292295990184958,106.80297462428058,17.19974202805292,True,
1724,-6.239682562503799,106.80261242187444,FRC3,13.0,21.0,0.94,-6.239614750390168,106.80251596653892,13.058759548148029,True,
1732,-6.253715700000002,106.7612876,FRC0,74.0,74.0,1.0,-6.253116986206038,106.76148487412404,70.05399864714126,True,
1741,-6.29351975,106.82264495,FRC2,18.0,23.0,0.99,-6.293346079798974,106.82268886054464,19.91175004778607,True,
1742,-6.274294200000008,106.76795755,FRC1,55.0,55.0,1.0,-6.273751194904444,106.76784439169984,61.66121213820591,True,
1746,-6.277394049999938,106.768995400001,FRC1,56.0,56.0,1.0,-6.277307820992653,106.76899371826296,9.590029721415426,True,
1748,-6.253310949999996,106.76444,FRC0,39.0,58.0,1.0,-6.252921183362798,106.76429046475424,46.38488573694094,True,
1767,-6.292749230000634,106.80425827000032,FRC3,30.0,38.0,1.0,-6.2927827941314,106.80452494109151,29.70916569944922,True,
1779,-6.292035321430076,106.79747976428617,FRC2,32.0,39.0,1.0,-6.292054629236671,106.7973178454668,18.02441479025832,True,
1791,-6.263045270003685,106.78334236000345,FRC3,27.0,27.0,1.0,-6.263679482694296,106.78342400276648,71.09626058240315,True,
1792,-6.2625220500036525,106.78288698332922,FRC3,29.0,29.0,1.0,-6.262700487536102,106.78314639413338,34.868633636955295,True,
1793,-6.262141600003653,106.7824909833292,FRC3,25.0,25.0,1.0,-6.262237817951435,106.78260995233028,16.952437195108878,True,
1795,-6.291495699999992,106.784129,FRC0,28.0,61.0,1.0,-6.291310300359478,106.78358091199384,63.98937209896492,True,
1819,-6.229525150000002,106.81003655,FRC4,21.0,21.0,1.0,-6.229382148544085,106.81012807572496,18.84671680260473,True,
1827,-6.2292071800003725,106.79758441000008,FRC3,28.0,28.0,1.0,-6.229276160255282,106.79738892400576,22.92965568585926,True,
1852,-6.261676300000439,106.75641004999854,FRC4,22.0,22.0,1.0,-6.261529690235168,106.75633235060523,18.426110357578924,True,
1904,-6.262210875000863,106.78278432500112,FRC2,26.0,31.0,1.0,-6.261741653732742,106.78239939892256,67.32335260389974,True,
1908,-6.248141600000711,106.76066451666838,FRC0,78.0,78.0,1.0,-6.248685991584559,106.76107047283114,75.3513120802073,True,
1915,-6.254481849999994,106.764587,FRC0,59.0,59.0,1.0,-6.255162163350575,106.76473168813736,77.31945545646975,True,
1944,-6.226964685716503,106.81152735000236,FRC4,42.0,42.0,1.0,-6.226709270681625,106.811947954542,54.48140138863387,True,
1946,-6.2913035000011,106.78064589999946,FRC6,29.0,29.0,1.0,-6.290838241667586,106.7807833679907,53.91931902507859,True,
1948,-6.292414650000007,106.8008182,FRC0,48.0,73.0,1.0,-6.292440873351405,106.80127276266025,50.32509707847379,True,
2007,-6.28864280500132,106.80667615000084,FRC3,23.0,36.0,1.0,-6.289031734245718,106.8065272101216,46.27404179211378,True,
2131,-6.27223279999999,106.76463896785746,FRC4,27.0,27.0,1.0,-6.272158003841144,106.76440714084646,26.939651688979325,True,
2135,-6.257109449999998,106.76552965,FRC2,40.0,40.0,1.0,-6.256406712967009,106.76522923790976,84.90334072234187,True,
2148,-6.238922600000366,106.8024640750001,FRC3,11.0,23.0,1.0,-6.238234761454493,106.80234698737098,77.57147156025488,True,
2175,-6.235057516667234,106.78517624999871,FRC2,22.0,36.0,1.0,-6.234679452610535,106.7856032975916,63.210285961225104,True,
2180,-6.228407400000009,106.8085462,FRC7,24.0,24.0,1.0,-6.228467498903628,106.80895997369868,46.22357310226656,True,
2187,-6.234661449999996,106.7555585,FRC2,20.0,39.0,0.97,-6.235295044618109,106.75596622907466,83.63486690938333,True,
2188,-6.233655599999992,106.75488135,FRC2,30.0,30.0,1.0,-6.233742064909034,106.75495503627582,12.60080870402813,True,
2195,-6.2925155714331895,106.79761952857248,FRC1,8.0,25.0,1.0,-6.292509274188177,106.79770542466964,9.519454926450328,True,
2201,-6.237834700000002,106.757798,FRC4,27.0,27.0,1.0,-6.237745240294223,106.75781963550436,10.230904779980984,True,
2202,-6.238518550000766,106.75804690000122,FRC4,31.0,31.0,1.0,-6.237970545068889,106.75790412508832,62.945893896604495,True,
2212,-6.289309799999991,106.80652795,FRC3,44.0,44.0,1.0,-6.289059894581153,106.80659024203344,28.628418305716544,True,
2213,-6.289680349999988,106.80637495,FRC3,41.0,41.0,1.0,-6.289510543055018,106.8064735659413,21.801801118220222,True,
2214,-6.292493980001447,106.80892594000088,FRC2,51.0,51.0,1.0,-6.292477031651125,106.80943472469444,56.265006099578926,True,
2224,-6.239369000000005,106.784154,FRC2,28.0,28.0,1.0,-6.239432357422593,106.78485093796274,77.35837817942787,True,
2247,-6.239790750000011,106.80293535,FRC7,23.0,23.0,1.0,-6.239815890848189,106.8029048868462,4.376481743291278,True,
2272,-6.2856331000000125,106.77581285,FRC0,47.0,62.0,1.0,-6.285016454713333,106.77528886282238,89.75318885067858,True,
2298,-6.288583799999989,106.77784095,FRC1,31.0,40.0,1.0,-6.288634823320289,106.77780477487896,6.94084144102375,True,
2299,-6.292036700000011,106.8046985,FRC3,23.0,23.0,1.0,-6.2919486536658,106.80451287115096,22.732862637815145,True,
2322,-6.2884621,106.7781152,FRC1,25.0,25.0,1.0,-6.288455113550981,106.77822722279888,12.405765015820144,True,
2351,-6.240828549999996,106.7583042,FRC4,60.0,60.0,1.0,-6.24124553567335,106.75844995462302,49.08602927962785,True,
2357,-6.289246330001454,106.77919036999816,FRC1,42.0,42.0,1.0,-6.289038482728601,106.7789393492925,36.10938214351291,True,
2393,-6.253259900000003,106.7612951,FRC0,55.0,55.0,1.0,-6.253988682910125,106.76109595381678,83.97338591167903,True,
2394,-6.250450249999995,106.76267642500028,FRC0,28.0,62.0,1.0,-6.250268505875259,106.76256312214826,23.774997901015617,True,
2458,-6.241493900000707,106.80237422000027,FRC3,8.0,25.0,1.0,-6.241815459437428,106.8024033137603,35.90010698702904,True,
2459,-6.23996075,106.79819865,FRC3,17.0,28.0,1.0,-6.239927209643448,106.79835988366938,18.208192291717623,True,
2463,-6.290302350000356,106.78117328000006,FRC1,32.0,43.0,1.0,-6.290260206631707,106.78077800357266,43.93872421317318,True,
2491,-6.241078099999994,106.807409,FRC4,28.0,28.0,1.0,-6.240981320805724,106.8074203857238,10.834697572951452,True,
2502,-6.29236715000116,106.79491445000156,FRC1,17.0,17.0,1.0,-6.292002307966933,106.7947804757382,43.186484879880986,True,
2514,-6.245877914706604,106.79419537352948,FRC4,21.0,21.0,1.0,-6.245868316085118,106.79424939835314,6.066259976928763,True,
2557,-6.293232500000006,106.82260195,FRC2,30.0,36.0,1.0,-6.293618349593628,106.82245148504676,46.01476064052064,True,
2578,-6.252394650000008,106.763859,FRC0,53.0,53.0,1.0,-6.252917183984796,106.7641348966314,65.61987416034553,True,
2616,-6.227603299999993,106.8080179,FRC7,6.0,14.0,0.7,-6.227196135756202,106.80801449502076,45.27616268700757,True,
2627,-6.294257649999989,106.82246505,FRC4,21.0,21.0,1.0,-6.294208461391224,106.82259766543814,15.644531640610694,True,
2660,-6.288887410002579,106.77817204999796,FRC1,15.0,15.0,1.0,-6.289080056713849,106.7782111295448,21.852459789989258,True,
2689,-6.247176700000005,106.7791797,FRC2,19.0,31.0,1.0,-6.247088724637406,106.779109669565,12.474591088018467,True,
2721,-6.294219249999994,106.82237,FRC4,25.0,31.0,0.992971,-6.294126647258585,106.8223576077312,10.387647837392771,True,
2731,-6.240104349999994,106.79819525,FRC6,9.0,9.0,1.0,-6.240195424517858,106.79828880513048,14.474026383658236,True,
2736,-6.294175925001126,106.82202269999944,FRC4,20.0,20.0,1.0,-6.294333182096233,106.82216985310008,23.8806613031926,True,
2745,-6.2832259000000015,106.7733426,FRC1,22.0,22.0,1.0,-6.283374975120318,106.77351458155864,25.2210986534843,True,
2749,-6.290513450000006,106.80586075,FRC3,42.0,42.0,1.0,-6.290077831362315,106.80621875608485,62.54586937882405,True,
2766,-6.237472432814329,106.760863051564,FRC3,14.0,19.0,0.91,-6.237356289368146,106.76072446786816,20.03608859500328,True,
2769,-6.277384249999992,106.8083305,FRC3,65.0,65.0,1.0,-6.277502281623383,106.80827869260872,14.319290570496095,True,
2775,-6.249932100000061,106.8081910500001,FRC3,17.0,30.0,1.0,-6.249753499775528,106.80814458215798,20.512890437890267,True,
2778,-6.290031600000001,106.80568255,FRC3,47.0,47.0,1.0,-6.29066794718073,106.80520353997248,88.37260486702526,True,
2799,-6.287920100000012,106.7783179,FRC2,34.0,34.0,1.0,-6.288060784942859,106.77802873933176,35.582918275498194,True,
2862,-6.2799578,106.7808347,FRC2,5.0,5.0,1.0,-6.279982023222727,106.78075922810956,8.765810922619794,True,
2864,-6.292421810000527,106.81402721000008,FRC2,16.0,26.0,1.0,-6.292495860626504,106.81472940529108,78.04572293225364,True,
2923,-6.292295650000001,106.8185556,FRC2,23.0,23.0,1.0,-6.292224923269167,106.81812776411374,47.936114302486594,True,
2927,-6.2804409500000045,106.78064725000002,FRC2,6.0,6.0,1.0,-6.280509080309216,106.78069753730222,9.39599663008753,True,
2949,-6.281835399999998,106.77285305,FRC1,35.0,35.0,1.0,-6.281569858145343,106.77257044398516,42.98262494759688,True,
2979,-6.239918790000258,106.79844824999957,FRC2,6.0,15.0,1.0,-6.239928542802509,106.79846583092548,2.2254395550977346,True,
2983,-6.229588121429594,106.80066076428808,FRC3,29.0,29.0,1.0,-6.229433059577773,106.80067060673628,17.276382274009183,True,
2999,-6.245831166669533,106.78217908174804,FRC4,16.0,21.0,1.0,-6.24591522608614,106.78174896323628,48.4532017936457,True,
3000,-6.226844744447302,106.80655504444664,FRC7,20.0,20.0,1.0,-6.226895667649513,106.80674044573834,21.26191603076649,True,
3020,-6.288108900000001,106.77809455,FRC1,16.0,16.0,1.0,-6.287977636806059,106.77794559085233,22.002178520418187,True,
3023,-6.235787928573227,106.7565696523826,FRC2,10.0,10.0,1.0,-6.235655833858935,106.75663007580596,16.13550220879844,True,
3083,-6.257505400000004,106.7649488,FRC3,20.0,26.0,0.9878,-6.257566773517754,106.76515145384826,23.41633585666964,True,
3099,-6.300705925002328,106.80377597499978,FRC0,40.0,40.0,1.0,-6.300774461735521,106.80363042438488,17.80060401968264,True,
3134,-6.2892448600025785,106.77855074999796,FRC1,17.0,22.0,1.0,-6.289262432333267,106.778499467014,5.995427902900407,True,
3136,-6.292340249999997,106.78929035000002,FRC0,72.0,72.0,1.0,-6.292349644450253,106.78943751537928,16.298969732926686,True,
3146,-6.236885100000002,106.79853742499988,FRC6,9.0,9.0,1.0,-6.236705870786553,106.79856373155457,20.14039983591131,True,
3150,-6.239586750000004,106.7983593,FRC1,10.0,29.0,1.0,-6.239818557166909,106.79835854256488,25.775916893940607,True,
3164,-6.239840140000258,106.79869149999956,FRC2,17.0,23.0,1.0,-6.23981997364873,106.79856239045006,14.446370748590216,True,
3181,-6.238320250000001,106.78066185,FRC6,19.0,19.0,1.0,-6.239039408264457,106.78072838270587,80.30421352509259,True,
3198,-6.292011918753859,106.79626690000086,FRC1,21.0,35.0,1.0,-6.292023803011547,106.79581178510466,50.318981049518285,True,
3215,-6.236093299999993,106.8016374,FRC3,11.0,31.0,0.995522,-6.236212348693143,106.80165900075848,13.451221566221069,True,
3223,-6.288382977780657,106.77854773888603,FRC2,32.0,32.0,1.0,-6.28828340193314,106.77843241178856,16.884107098389634,True,
3239,-6.244298733333926,106.78235733333268,FRC2,26.0,34.0,1.0,-6.244313951240637,106.78236721241431,2.013906590352533,True,
3242,-6.244318133333919,106.78242513333268,FRC2,10.0,28.0,1.0,-6.244311284944804,106.78243560874428,1.385867417677206,True,
3274,-6.289251012500633,106.77503418749964,FRC1,28.0,28.0,1.0,-6.289235605041962,106.775129271386,10.647944868308029,True,
3276,-6.289306662500639,106.77430968749964,FRC1,19.0,26.0,0.999507,-6.289342914198914,106.77516816341672,94.96922787279011,True,
3315,-6.221126942858857,106.81285116428808,FRC4,11.0,30.0,1.0,-6.221281815259708,106.8133990296194,62.96196148427522,True,
3325,-6.221715125000596,106.78739152499972,FRC4,39.0,39.0,1.0,-6.221599701576173,106.78724078619558,21.032566097394607,True,
3331,-6.223702150000002,106.81472380000002,FRC4,25.0,25.0,1.0,-6.223548344660379,106.81489167893652,25.23615176567345,True,
3339,-6.21880835,106.7952413,FRC6,19.0,19.0,1.0,-6.218858456976978,106.79535849178104,14.101805907132317,True,
3347,-6.214511200000002,106.8186868,FRC1,21.0,46.0,1.0,-6.214351012531232,106.8189364501319,32.84580055808753,True,
3350,-6.225304200000004,106.8130754,FRC7,16.0,16.0,1.0,-6.224721809939724,106.8129685350724,65.82739842909116,True,
3353,-6.2203199428576585,106.81144916428768,FRC1,16.0,44.0,1.0,-6.219881696647586,106.81193186128792,72.26138286520025,True,
3369,-6.215475700000965,106.81757216000172,FRC1,15.0,41.0,1.0,-6.21526293697024,106.8179158696015,44.757809964455234,True,
3385,-6.226020649999999,106.7890178,FRC4,32.0,42.0,1.0,-6.2257839508249,106.7889734932196,26.7715502125412,True,
3403,-6.222643000000003,106.78479625,FRC4,19.0,19.0,1.0,-6.222864328931766,106.7849314042332,28.790370520888395,True,
3405,-6.215657672727961,106.77732914545462,FRC3,31.0,31.0,1.0,-6.216129280388395,106.7767506667359,82.69855243393975,True,
3409,-6.21927106666719,106.77863210555616,FRC4,16.0,16.0,1.0,-6.219162929315104,106.7787596412885,18.52927907075708,True,
3410,-6.219295699999997,106.81243095,FRC1,43.0,43.0,1.0,-6.219633636203445,106.81196673000512,63.602309462758384,True,
3415,-6.204530450000007,106.82282685,FRC3,19.0,24.0,0.99,-6.204756795086977,106.82258559549756,36.67004689819262,True,
3417,-6.220657499999999,106.7820362,FRC4,24.0,30.0,0.99,-6.220644792167355,106.78189782583668,15.361039224695446,True,
3455,-6.219157350000007,106.8128958,FRC1,14.0,40.0,1.0,-6.219083769857161,106.81294037187769,9.55071542639146,True,
